timepoint,colony.id,frag.id,treatment,colormorph,sym.density,,,,,,,,,,,,,,,,,,,
06/23/17,B4,1,control,red,1109153.7809,,,,,,,,,,,,,,,,,,,
06/23/17,B4,114,deep,red,2246795.0732,,,,,,,,,,,,,,,,,,,
06/23/17,B4,19,shallow,red,1064965.9822,,,,,,,,,,,,,,,,,,,
06/23/17,B4,2,shade,red,2489216.4912,,,,,,,,,,,,,,,,,,,
06/23/17,B5,8,control,red,34974818.1309,,,,,,,,,,,,,,,,,,,
06/23/17,B5,176,deep,red,2722369.4383,,,,,,,,,,,,,,,,,,,
06/23/17,B5,198,shallow,red,2447498.3152,,,,,,,,,,,,,,,,,,,
06/23/17,B5,158,shade,red,5472070.5797,,,,,,,,,,,,,,,,,,,
06/23/17,B6,13,control,red,2705642.7348,,,,,,,,,,,,,,,,,,,
06/23/17,B6,200,deep,red,3117383.4290,,,,,,,,,,,,,,,,,,,
06/23/17,B6,166,shallow,red,1062036.9432,,,,,,,,,,,,,,,,,,,
06/23/17,B6,65,shade,red,2458897.1337,,,,,,,,,,,,,,,,,,,
06/23/17,O7,57,control,orange,5990208.0066,,,,,,,,,,,,,,,,,,,
06/23/17,O7,103,deep,orange,12592892.0121,,,,,,,,,,,,,,,,,,,
06/23/17,O7,20,shallow,orange,12344863.5148,,,,,,,,,,,,,,,,,,,
06/23/17,O7,290,shade,orange,13879812.0312,,,,,,,,,,,,,,,,,,,
06/23/17,O8,680,control,orange,4946027.0320,,,,,,,,,,,,,,,,,,,
06/23/17,O8,10,deep,orange,5285035.9704,,,,,,,,,,,,,,,,,,,
06/23/17,O8,163,shallow,orange,7115682.8352,,,,,,,,,,,,,,,,,,,
06/23/17,O8,58,shade,orange,3476463.6594,,,,,,,,,,,,,,,,,,,
06/23/17,O9,16,control,orange,8046163.8492,,,,,,,,,,,,,,,,,,,
06/23/17,O9,95,deep,orange,3935574.9177,,,,,,,,,,,,,,,,,,,
06/23/17,O9,281,shallow,orange,3910019.0413,,,,,,,,,,,,,,,,,,,
06/23/17,O9,53,shade,orange,4179469.3891,,,,,,,,,,,,,,,,,,,
06/23/17,O10,855,control,orange,4472772.9126,,,,,,,,,,,,,,,,,,,
06/23/17,O10,153,deep,orange,5024728.6173,,,,,,,,,,,,,,,,,,,
06/23/17,O10,136,shallow,orange,2888179.1021,,,,,,,,,,,,,,,,,,,
06/23/17,O10,287,shade,orange,4821198.0867,,,,,,,,,,,,,,,,,,,
06/23/17,O11,93,control,orange,3375263.0225,,,,,,,,,,,,,,,,,,,
06/23/17,O11,720,deep,orange,3305242.5556,,,,,,,,,,,,,,,,,,,
06/23/17,O11,101,shallow,orange,1690453.2242,,,,,,,,,,,,,,,,,,,
06/23/17,O11,101.1,shade,orange,2378832.0290,,,,,,,,,,,,,,,,,,,
06/23/17,O12,194,control,orange,1598094.8531,,,,,,,,,,,,,,,,,,,
06/23/17,O12,162,deep,orange,3513345.4054,,,,,,,,,,,,,,,,,,,
06/23/17,O12,164,shallow,orange,1306081.5421,,,,,,,,,,,,,,,,,,,
06/23/17,O12,215,shade,orange,2041910.3965,,,,,,,,,,,,,,,,,,,
06/23/17,O13,14,control,orange,4846569.6677,,,,,,,,,,,,,,,,,,,
06/23/17,O13,196,deep,orange,28994082.8402,,,,,,,,,,,,,,,,,,,
06/23/17,O13,154,shallow,orange,9431768.9454,,,,,,,,,,,,,,,,,,,
06/23/17,O13,202,shade,orange,13338748.0884,,,,,,,,,,,,,,,,,,,
07/07/17,B1,39,control,red,3531442.3273,,,,,,,,,,,,,,,,,,,
07/07/17,B1,23,deep,red,4720006.4136,,,,,,,,,,,,,,,,,,,
07/07/17,B1,174,shallow,red,5752628.1694,,,,,,,,,,,,,,,,,,,
07/07/17,B1,144,shade,red,7511940.9466,,,,,,,,,,,,,,,,,,,
07/07/17,B2,165,control,red,9822513.1830,,,,,,,,,,,,,,,,,,,
07/07/17,B2,456,deep,red,14420595.6465,,,,,,,,,,,,,,,,,,,
07/07/17,B2,170,shallow,red,5551425.0310,,,,,,,,,,,,,,,,,,,
07/07/17,B2,183,shade,red,11042091.5131,,,,,,,,,,,,,,,,,,,
07/07/17,B3,182,control,red,19751260.3732,,,,,,,,,,,,,,,,,,,
07/07/17,B3,43,deep,red,17056011.9432,,,,,,,,,,,,,,,,,,,
07/07/17,B3,26,shallow,red,10931012.2607,,,,,,,,,,,,,,,,,,,
07/07/17,B3,7,shade,red,8489593.4016,,,,,,,,,,,,,,,,,,,
07/07/17,B4,1,control,red,2940375.3289,,,,,,,,,,,,,,,,,,,
07/07/17,B4,114,deep,red,9155831.3633,,,,,,,,,,,,,,,,,,,
07/07/17,B4,19,shallow,red,3977492.7061,,,,,,,,,,,,,,,,,,,
07/07/17,B4,2,shade,red,6242333.9758,,,,,,,,,,,,,,,,,,,
07/07/17,B5,8,control,red,8705352.4150,,,,,,,,,,,,,,,,,,,
07/07/17,B5,176,deep,red,4527228.6686,,,,,,,,,,,,,,,,,,,
07/07/17,B5,198,shallow,red,6657719.4848,,,,,,,,,,,,,,,,,,,
07/07/17,B5,158,shade,red,11315097.1684,,,,,,,,,,,,,,,,,,,
07/07/17,B6,13,control,red,3724176.6993,,,,,,,,,,,,,,,,,,,
07/07/17,B6,200,deep,red,7410052.0725,,,,,,,,,,,,,,,,,,,
07/07/17,B6,166,shallow,red,6526333.5869,,,,,,,,,,,,,,,,,,,
07/07/17,B6,65,shade,red,5151590.8462,,,,,,,,,,,,,,,,,,,
07/07/17,O7,57,control,orange,2613053.2480,,,,,,,,,,,,,,,,,,,
07/07/17,O7,103,deep,orange,5424234.7221,,,,,,,,,,,,,,,,,,,
07/07/17,O7,20,shallow,orange,3242623.8179,,,,,,,,,,,,,,,,,,,
07/07/17,O7,290,shade,orange,15326716.0845,,,,,,,,,,,,,,,,,,,
