timepoint,Time,colony.id,frag.id,Treatment,Colormorph,sym.density,protein.density,color.score,bleaching.score
07/07/17,28.00,O8,163,Shallow,Orange,22142305.18,7.896739167,0.073348351,-0.057787378
07/07/17,28.00,O8,58,Shade,Orange,23510785.67,7.607540718,2.6344183,2.442757372
07/07/17,28.00,O9,281,Shallow,Orange,9046923.183,4.18313719,-0.057787378,-1.843162814
07/07/17,28.00,O9,53,Shade,Orange,7780005.942,3.994091095,2.442757372,2.539303696
07/07/17,28.00,O10,136,Shallow,Orange,7049949.561,2.919364906,-1.843162814,1.434844292
07/07/17,28.00,O10,287,Shade,Orange,3683307.783,1.796386536,2.539303696,2.609142446
07/07/17,28.00,O11,101,Shallow,Orange,14860603.79,6.435888144,1.434844292,-0.061230122
07/07/17,28.00,O11,101.1,Shade,Orange,6979484.282,3.200161434,2.609142446,2.520595231
07/07/17,28.00,O12,164,Shallow,Orange,6963397.069,6.420127771,-0.061230122,-4.291387026
07/07/17,28.00,O12,215,Shade,Orange,9148954.548,6.100782696,2.520595231,1.499691765
07/07/17,28.00,O13,154,Shallow,Orange,13578635.9,4.257895683,-4.291387026,0.985222813
07/07/17,28.00,O13,202,Shade,Orange,22122509.99,8.866444645,1.499691765,2.674259746
07/28/17,49.00,B1,174,Shallow,Red,1780540.228,1.734925936,0.985222813,-7.197816751
07/28/17,49.00,B1,144,Shade,Red,4582013.959,4.136199882,2.674259746,0
07/28/17,49.00,B2,170,Shallow,Red,1339466.056,1.298475207,-7.197816751,-7.54973095
07/28/17,49.00,B2,183,Shade,Red,4898359.05,2.705537061,-7.54973095,2.290224964
07/28/17,49.00,B3,26,Shallow,Red,1373864.018,0.874637029,2.290224964,-7.866688649
07/28/17,49.00,B3,7,Shade,Red,2234515.222,0.989595019,-7.866688649,2.530665817
07/28/17,49.00,B4,19,Shallow,Red,993678.3635,0.897580465,2.530665817,-8.591280071
07/28/17,49.00,B4,2,Shade,Red,3205994.581,1.835429522,-8.591280071,-4.34812437
07/28/17,49.00,B5,198,Shallow,Red,1022119.719,0.991557131,-4.34812437,-6.971447162
07/28/17,49.00,B5,158,Shade,Red,6698335.916,3.30162204,-6.971447162,2.2424198
07/28/17,49.00,B6,166,Shallow,Red,667102.1361,1.017815452,2.2424198,-8.351400004
07/28/17,49.00,B6,65,Shade,Red,3290185.078,2.392030249,-8.351400004,-0.850918587
07/28/17,49.00,O7,20,Shallow,Orange,298486.1723,1.429802404,-0.850918587,0
07/28/17,49.00,O7,290,Shade,Orange,2080208.879,2.315664908,-1.441065892,-1.441065892
07/28/17,49.00,O8,163,Shallow,Orange,3290278.037,1.900401738,-7.321979737,-7.321979737
07/28/17,49.00,O8,58,Shade,Orange,12635488.98,9.510124224,1.898491405,1.898491405
07/28/17,49.00,O9,281,Shallow,Orange,2486292.193,1.049868606,0.544157846,0.544157846
07/28/17,49.00,O9,53,Shade,Orange,2035409.237,1.259828398,-1.581452255,-1.581452255
07/28/17,49.00,O10,136,Shallow,Orange,2225224.327,0.856506128,1.17882765,1.17882765
07/28/17,49.00,O10,287,Shade,Orange,9965539.496,4.711407593,2.126759061,2.126759061
07/28/17,49.00,O11,101,Shallow,Orange,1267572.974,0.928589934,-0.899473149,-0.899473149
07/28/17,49.00,O11,101.1,Shade,Orange,1112497.788,1.478355836,-0.13362367,-0.13362367
07/28/17,49.00,O12,164,Shallow,Orange,930070.6405,0.616589493,-3.610030692,-3.610030692
07/28/17,49.00,O12,215,Shade,Orange,1413148.203,1.025851207,-0.864565039,-0.864565039
07/28/17,49.00,O13,154,Shallow,Orange,2309486.247,1.99298554,0.988084863,0.988084863
07/28/17,49.00,O13,202,Shade,Orange,3127624.966,1.77246156,2.637103885,2.637103885
