timepoint,colony_id,frag_id,treatment,colormorph,protein_density
06/09/17,O10,153,Deep,Orange,7667.965598
06/09/17,O10,136,Shallow,Orange,7059.580461
06/09/17,O10,136,Shallow,Orange,5586.703353
06/09/17,O10,136,Shallow,Orange,2637.337909
06/09/17,O10,287,Shade,Orange,6513.805523
06/09/17,O10,287,Shade,Orange,3916.684455
06/09/17,O10,287,Shade,Orange,4782.89345
06/09/17,O11,93,Control,Orange,6092.588158
06/09/17,O11,93,Control,Orange,4230.201387
06/09/17,O11,93,Control,Orange,7814.850952
06/09/17,O11,720,Deep,Orange,7576.739178
06/09/17,O11,720,Deep,Orange,3258.091404
06/09/17,O11,720,Deep,Orange,7581.180994
06/09/17,O11,101,Shallow,Orange,4688.726249
06/09/17,O11,101,Shallow,Orange,2739.420066
06/09/17,O11,101,Shallow,Orange,2214.630695
06/09/17,O11,101.1,Shade,Orange,5595.375791
06/09/17,O11,101.1,Shade,Orange,1271.618667
06/09/17,O11,101.1,Shade,Orange,5476.240303
06/09/17,O12,194,Control,Orange,4090.89204
06/09/17,O12,194,Control,Orange,5859.75304
06/09/17,O12,194,Control,Orange,7896.739167
06/09/17,O12,162,Deep,Orange,7607.540718
06/09/17,O12,162,Deep,Orange,4671.971132
06/09/17,O12,162,Deep,Orange,4434.759747
06/09/17,O12,164,Shallow,Orange,4183.13719
06/09/17,O12,164,Shallow,Orange,3994.091095
06/09/17,O12,164,Shallow,Orange,2592.670856
06/09/17,O12,215,Shade,Orange,2525.256722
06/09/17,O12,215,Shade,Orange,2919.364906
06/09/17,O12,215,Shade,Orange,1796.386536
06/09/17,O13,14,Control,Orange,3689.164412
06/09/17,O13,14,Control,Orange,2744.771105
06/09/17,O13,14,Control,Orange,6435.888143
06/09/17,O13,196,Deep,Orange,3200.161434
06/09/17,O13,196,Deep,Orange,23128.88068
06/09/17,O13,196,Deep,Orange,6287.000957
06/09/17,O13,154,Shallow,Orange,6420.127771
06/09/17,O13,154,Shallow,Orange,6100.782697
06/09/17,O13,154,Shallow,Orange,13192.18423
06/09/17,O13,202,Shade,Orange,5175.207548
06/09/17,O13,202,Shade,Orange,4257.895683
06/09/17,O13,202,Shade,Orange,8866.444645
06/23/17,B1,39,Control,Red,1752.110666
06/23/17,B1,39,Control,Red,2738.584744
06/23/17,B1,39,Control,Red,1734.925936
06/23/17,B1,23,Deep,Red,4136.199882
06/23/17,B1,23,Deep,Red,1774.724037
06/23/17,B1,23,Deep,Red,2760.453865
06/23/17,B1,174,Shallow,Red,1298.475207
06/23/17,B1,174,Shallow,Red,2705.537061
06/23/17,B1,174,Shallow,Red,1024.309797
06/23/17,B1,144,Shade,Red,3613.372568
06/23/17,B1,144,Shade,Red,874.6370285
06/23/17,B1,144,Shade,Red,989.5950186
06/23/17,B2,165,Control,Red,2601.902014
06/23/17,B2,165,Control,Red,3990.541413
06/23/17,B2,165,Control,Red,897.5804655
06/23/17,B2,456,Deep,Red,1835.429522
06/23/17,B2,456,Deep,Red,4488.927877
06/23/17,B2,456,Deep,Red,1700.776172
06/23/17,B2,170,Shallow,Red,991.5571306
06/23/17,B2,170,Shallow,Red,3301.62204
06/23/17,B2,170,Shallow,Red,1421.798915
06/23/17,B2,183,Shade,Red,2539.880648
06/23/17,B2,183,Shade,Red,1017.815452
06/23/17,B2,183,Shade,Red,2392.030249
06/23/17,B3,182,Control,Red,3283.799999
06/23/17,B3,182,Control,Red,3057.161636
06/23/17,B3,182,Control,Red,1429.802404
06/23/17,B3,43,Deep,Red,2315.664907
06/23/17,B3,43,Deep,Red,2526.552237
06/23/17,B3,43,Deep,Red,8333.181092
06/23/17,B3,26,Shallow,Red,1900.401738
06/23/17,B3,26,Shallow,Red,9510.124224
06/23/17,B3,26,Shallow,Red,1069.362469
06/23/17,B3,7,Shade,Red,2640.769085
06/23/17,B3,7,Shade,Red,1049.868606
06/23/17,B3,7,Shade,Red,1259.828398
06/23/17,B4,1,Control,Red,1719.037337
06/23/17,B4,1,Control,Red,4767.93359
06/23/17,B4,1,Control,Red,856.5061276
06/23/17,B4,114,Deep,Red,4711.407593
06/23/17,B4,114,Deep,Red,996.554442
06/23/17,B4,114,Deep,Red,3758.308319
06/23/17,B4,19,Shallow,Red,928.5899338
06/23/17,B4,19,Shallow,Red,1478.355836
06/23/17,B4,19,Shallow,Red,68.48078331
06/23/17,B4,2,Shade,Red,5169.608755
06/23/17,B4,2,Shade,Red,616.589493
06/23/17,B4,2,Shade,Red,1025.851207
06/23/17,B5,8,Control,Red,1389.909147
06/23/17,B5,8,Control,Red,5903.191278
06/23/17,B5,8,Control,Red,1992.98554
06/23/17,B5,176,Deep,Red,1772.46156
06/23/17,B5,176,Deep,Red,203.5755
06/23/17,B5,176,Deep,Red,272.17965
06/23/17,B5,198,Shallow,Red,252.121275
06/23/17,B5,198,Shallow,Red,449.910375
06/23/17,B5,198,Shallow,Red,353.269575
06/23/17,B5,158,Shade,Red,378.511575
06/23/17,B5,158,Shade,Red,426.87705
06/23/17,B5,158,Shade,Red,512.925225
06/23/17,B6,13,Control,Red,302.1475
06/23/17,B6,13,Control,Red,301.0555
06/23/17,B6,13,Control,Red,299.1445
06/23/17,B6,200,Deep,Red,222.841
06/23/17,B6,200,Deep,Red,265.338
06/23/17,B6,200,Deep,Red,262.1985
06/23/17,B6,166,Shallow,Red,270.525
06/23/17,B6,166,Shallow,Red,275.0295
06/23/17,B6,166,Shallow,Red,270.343
06/23/17,B6,65,Shade,Red,166.694
06/23/17,B6,65,Shade,Red,229.757
06/23/17,B6,65,Shade,Red,269.069
06/23/17,O7,57,Control,Orange,325.7165
06/23/17,O7,57,Control,Orange,347.1015
06/23/17,O7,57,Control,Orange,319.21
06/23/17,O7,103,Deep,Orange,282.2185
06/23/17,O7,103,Deep,Orange,291.8645
06/23/17,O7,103,Deep,Orange,292.7745
06/23/17,O7,20,Shallow,Orange,243.2705
06/23/17,O7,20,Shallow,Orange,361.0245
06/23/17,O7,20,Shallow,Orange,347.693
06/23/17,O7,290,Shade,Orange,254.691
06/23/17,O7,290,Shade,Orange,356.429
06/23/17,O7,290,Shade,Orange,366.53
06/23/17,O8,680,Control,Orange,291.091
06/23/17,O8,680,Control,Orange,292.456
06/23/17,O8,680,Control,Orange,270.8435
06/23/17,O8,10,Deep,Orange,232.8055
06/23/17,O8,10,Deep,Orange,271.9355
06/23/17,O8,10,Deep,Orange,245.0905
06/23/17,O8,163,Shallow,Orange,324.852
06/23/17,O8,163,Shallow,Orange,336.1815
06/23/17,O8,163,Shallow,Orange,351.97
06/23/17,O8,58,Shade,Orange,72.782
06/23/17,O8,58,Shade,Orange,261.334
