timepoint,colony_id,frag_id,treatment,colormorph,protein_density
07/28/17,O9,95,Deep,Orange,184.586812
07/28/17,O9,281,Shallow,Orange,179.168308
07/28/17,O9,281,Shallow,Orange,176.362297
07/28/17,O9,281,Shallow,Orange,178.103959
07/28/17,O9,53,Shade,Orange,144.625345
07/28/17,O9,53,Shade,Orange,115.500886
07/28/17,O9,53,Shade,Orange,118.98421
07/28/17,O10,855,Control,Orange,429.387082
07/28/17,O10,855,Control,Orange,423.678301
07/28/17,O10,855,Control,Orange,406.648717
07/28/17,O10,153,Deep,Orange,151.979029
07/28/17,O10,153,Deep,Orange,149.850331
07/28/17,O10,153,Deep,Orange,140.174431
07/28/17,O10,136,Shallow,Orange,182.361355
07/28/17,O10,136,Shallow,Orange,204.228889
07/28/17,O10,136,Shallow,Orange,189.328003
07/28/17,O10,287,Shade,Orange,417.388966
07/28/17,O10,287,Shade,Orange,388.94182
07/28/17,O10,287,Shade,Orange,402.778357
07/28/17,O11,93,Control,Orange,238.427635
07/28/17,O11,93,Control,Orange,233.884085
07/28/17,O11,93,Control,Orange,246.853855
07/28/17,O11,720,Deep,Orange,189.15077
07/28/17,O11,720,Deep,Orange,206.91192
07/28/17,O11,720,Deep,Orange,190.63775
07/28/17,O11,101,Shallow,Orange,258.171425
07/28/17,O11,101,Shallow,Orange,255.4866
07/28/17,O11,101,Shallow,Orange,291.25673
07/28/17,O11,101.1,Shade,Orange,231.653615
07/28/17,O11,101.1,Shade,Orange,249.78651
07/28/17,O11,101.1,Shade,Orange,253.58657
07/28/17,O12,194,Control,Orange,16.41967
07/28/17,O12,194,Control,Orange,20.580307
07/28/17,O12,194,Control,Orange,18.35485
07/28/17,O12,162,Deep,Orange,156.623461
07/28/17,O12,162,Deep,Orange,147.624874
07/28/17,O12,162,Deep,Orange,137.561938
07/28/17,O12,164,Shallow,Orange,132.627229
07/28/17,O12,164,Shallow,Orange,128.466592
07/28/17,O12,164,Shallow,Orange,151.591993
07/28/17,O12,215,Shade,Orange,276.120826
07/28/17,O12,215,Shade,Orange,264.12271
07/28/17,O12,215,Shade,Orange,251.931076
07/28/17,O13,14,Control,Orange,230.001415
07/28/17,O13,14,Control,Orange,235.08193
07/28/17,O13,14,Control,Orange,235.6602
07/28/17,O13,196,Deep,Orange,297.94814
07/28/17,O13,196,Deep,Orange,301.7482
07/28/17,O13,196,Deep,Orange,318.807165
07/28/17,O13,154,Shallow,Orange,259.78232
07/28/17,O13,154,Shallow,Orange,300.34383
07/28/17,O13,154,Shallow,Orange,310.380945
07/28/17,O13,202,Shade,Orange,263.871515
07/28/17,O13,202,Shade,Orange,276.676065
07/28/17,O13,202,Shade,Orange,294.64374
